"MISERIEUX";"01600";"4.81667";"45.9833"
"PREVESSIN-MOENS";"01280";"6.08333";"46.25"
"LENT";"01240";"5.2";"46.1167"
"MARSONNAS";"01340";"5.06667";"46.3333"
"MANZIAT";"01570";"4.9";"46.35"
"TREVOUX";"01600";"4.76667";"45.9333"
"BELLEGARDE-SUR-VALSERINE";"01200";"5.81667";"46.1"
"BOURG-EN-BRESSE";"01000";"5.21667";"46.2"
"CONFORT";"01200";"5.81667";"46.15"
"SAINT-DENIS-LES-BOURG";"01000";"5.2";"46.2"
"MASSIGNIEU-DE-RIVES";"01300";"5.76667";"45.75"
"SAINT-ETIENNE-SUR-CHALARONNE";"01140";"4.86667";"46.15"
"BOHAS-MEYRIAT-RIGNAT";"01250";"5.4";"46.1333"
"CHEVRY";"01170";"6.03333";"46.2833"
"FAREINS";"01480";"4.76667";"46.0167"
"GORREVOD";"01190";"4.95";"46.4167"
"VALEINS";"01140";"4.86667";"46.1167"
"VIEU-D'IZENAVE";"01430";"5.53333";"46.0833"
"TOUSSIEUX";"01600";"4.83333";"45.9667"
"ARBIGNY";"01190";"4.96667";"46.4667"
"MALAFRETAZ";"01340";"5.15";"46.3167"
"SAMOGNAT";"01580";"5.58333";"46.25"
"CRAS-SUR-REYSSOUZE";"01340";"5.16667";"46.3"
"MESSIMY-SUR-SAONE";"01480";"4.76473";"46.0484"
"POUGNY";"01550";"5.95";"46.1333"
"SANDRANS";"01400";"4.98333";"46.0667"
"PONT-DE-VEYLE";"01290";"4.88333";"46.2667"
"MIJOUX";"01170";"6";"46.3667"
"SAINT-JEAN-DE-GONVILLE";"01630";"5.95";"46.2167"
"SAINT-ANDRE-LE-BOUCHOUX";"01240";"5.08333";"46.1167"
"CHANEINS";"01990";"4.85";"46.1"
"JOYEUX";"01800";"5.1";"45.95"
"TRAMOYES";"01390";"4.96667";"45.8667"
"BIZIAT";"01290";"4.93333";"46.2167"
"IZENAVE";"01430";"5.53333";"46.0333"
"BELMONT-LUTHEZIEU";"01260";"5.66167";"45.8795"
"ARBENT";"01100";"5.68333";"46.3"
"SUTRIEU";"01260";"5.65";"45.95"
"SERRIERES-DE-BRIORD";"01470";"5.45445";"45.8081"
"ARANC";"01110";"5.5";"46"
"CHALEY";"01230";"5.53333";"45.95"
"CURCIAT-DONGALON";"01560";"5.15";"46.4667"
"LOYETTES";"01360";"5.2";"45.7667"
"GEX";"01170";"6.06667";"46.3333"
"COURTES";"01560";"5.1";"46.4667"
"BEREZIAT";"01340";"5.05";"46.3667"
"LAPEYROUSE";"01330";"4.96667";"45.9833"
"APREMONT";"01100";"5.65833";"46.2083"
"VILLIEU-LOYES-MOLLON";"01800";"5.22223";"45.9206"
"LEYMENT";"01150";"5.3";"45.9167"
"ETREZ";"01340";"5.18333";"46.3333"
"GERCY";"02140";"3.86667";"49.8167"
"VILLEMONTOIRE";"02210";"3.33333";"49.3"
"BRANCOURT-LE-GRAND";"02110";"3.38333";"49.9667"
"LICY-CLIGNON";"02810";"3.26667";"49.1"
"PROISY";"02120";"3.73333";"49.9"
"CHAMBRY";"02000";"3.65";"49.6"
"MONT-SAINT-JEAN";"02360";"4.2";"49.7833"
"MORGNY-EN-THIERACHE";"02360";"4.06667";"49.7667"
"MESNIL-SAINT-LAURENT";"02720";"3.35";"49.8333"
"ANNOIS";"02480";"3.16667";"49.7167"
"BRUNEHAMEL";"02360";"4.18333";"49.7667"
"AUDIGNICOURT";"02300";"3.13333";"49.4833"
"MONTIGNY-SUR-CRECY";"02270";"3.58333";"49.7167"
"LOR";"02190";"4.05";"49.5333"
"CHIVRES-EN-LAONNOIS";"02350";"3.85";"49.6333"
"SAINT-GOBAIN";"02410";"3.38333";"49.6"
"UGNY-LE-GAY";"02300";"3.16667";"49.6667"
"HAPPENCOURT";"02480";"3.18333";"49.7833"
"PROUVAIS";"02190";"3.98333";"49.4667"
"AZY-SUR-MARNE";"02400";"3.36667";"49"
"TERNY-SORNY";"02880";"3.36667";"49.45"
"DROIZY";"02210";"3.38333";"49.2833"
"PIGNICOURT";"02190";"4.03333";"49.4167"
"MOUSSY-VERNEUIL";"02160";"3.63333";"49.4167"
"AGUILCOURT";"02190";"3.96667";"49.4"
"MONTAIGU";"02820";"3.83333";"49.5333"
"MOULINS";"02160";"3.68333";"49.4167"
"SAULCHERY";"02310";"3.3";"48.9833"
"NANTEUIL-LA-FOSSE";"02880";"3.45";"49.4333"
"GUIGNICOURT";"02190";"3.96667";"49.4333"
"BUCY-LE-LONG";"02880";"3.38333";"49.4"
"LONGPONT";"02600";"3.21667";"49.2667"
"MONTGOBERT";"02600";"3.15";"49.3"
"NOIRCOURT";"02340";"4.1";"49.6667"
"ROZET-SAINT-ALBIN";"02210";"3.3";"49.2"
"CHIVY-LES-ETOUVELLES";"02000";"3.58333";"49.5167"
"CHAVONNE";"02370";"3.56667";"49.4"
"ARTONGES";"02330";"3.55";"48.9333"
"OISY";"02450";"3.66667";"50.0167"
"JUVIGNY";"02880";"3.31667";"49.45"
"MARCHAIS-EN-BRIE";"02540";"3.48333";"48.8833"
"BOUCONVILLE-VAUCLAIR";"02860";"3.75556";"49.4656"
"LA BOUTEILLE";"02140";"3.96667";"49.8667"
"LY-FONTAINE";"02440";"3.3";"49.7167"
"LOGNY-LES-AUBENTON";"02500";"4.2";"49.8333"
"CUIRIEUX";"02350";"3.81667";"49.6833"
"IRON";"02510";"3.66667";"49.95"
"JONCOURT";"02420";"3.3";"49.95"
"EFFRY";"02500";"4";"49.9333"
"JUMIGNY";"02160";"3.71667";"49.4167"
"CHAOURSE";"02340";"4";"49.7"
"SAINT-REMY-BLANZY";"02210";"3.3";"49.2333"
"BEAUMONT-EN-BEINE";"02300";"3.13333";"49.7"
"LE PLESSIER-HULEU";"02210";"3.35";"49.2333"
"ESTREES";"02420";"3.28333";"49.9667"
"BAULNE-EN-BRIE";"02330";"3.61667";"48.9833"
"GUIVRY";"02300";"3.11667";"49.65"
"VARISCOURT";"02190";"3.98333";"49.4167"
"CHATILLON-SUR-OISE";"02240";"3.4";"49.7833"
"SOISSONS";"02200";"3.33333";"49.3667"
"BRAY-SAINT-CHRISTOPHE";"02480";"3.15";"49.7667"
"LE HERIE-LA-VIEVILLE";"02120";"3.63333";"49.8167"
"AUBENTON";"02500";"4.2";"49.8333"
"BRAYE";"02880";"3.36667";"49.4333"
"BRISSAY-CHOIGNY";"02240";"3.36667";"49.7167"
"REMAUCOURT";"02100";"3.33333";"49.9"
"SERAUCOURT-LE-GRAND";"02790";"3.21667";"49.7833"
"BERRY-AU-BAC";"02190";"3.9";"49.4"
"VIVAISE";"02870";"3.56667";"49.6167"
"PROVISEUX-ET-PLESNOY";"02190";"4";"49.4667"
"CAUMONT";"02300";"3.18333";"49.6167"
"VILLERS-LE-SEC";"02240";"3.5";"49.7833"
"VICHEL-NANTEUIL";"02210";"3.28333";"49.1833"
"ROMERY";"02120";"3.73333";"49.9"
"FONTAINE-LES-CLERCS";"02680";"3.21667";"49.8"
"CHERY-LES-POUILLY";"02000";"3.6";"49.65"
"PITHON";"02480";"3.1";"49.75"
"BEAURIEUX";"02160";"3.73333";"49.4"
"SINCENY";"02300";"3.25";"49.6"
"BOUFFIGNEREUX";"02160";"3.85";"49.3667"
"SAINT-GENGOULPH";"02810";"3.21667";"49.1167"
"PARGNY-LES-BOIS";"02270";"3.61667";"49.7167"
"MONTIGNY-L'ALLIER";"02810";"3.1";"49.1167"
"BEUVARDES";"02130";"3.48333";"49.15"
